Player,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Seth Jones,CLS,D,33,4,13,17,-5,14,75,0,1,5,0,0,34,69
Anders Bjork,BOS,LW,26,4,5,9,3,2,35,0,1,0,0,0,17,11
Torey Krug,BOS,D,29,4,18,22,3,12,64,2,0,13,0,0,16,26
Mark Giordano,CGY,D,35,4,13,17,-2,24,85,0,1,4,0,0,24,89
Matt Niskanen,PHI,D,33,4,10,14,2,17,65,0,2,5,0,0,63,40
William Carrier,VGK,LW,36,4,5,9,1,23,54,1,0,0,0,0,98,6
Chris Tierney,OTT,C,34,4,13,17,-5,6,41,1,1,0,1,0,22,16
Sami Vatanen,NJ,D,28,4,9,13,-2,10,61,0,1,5,0,0,30,51
Mikhail Sergachev,TB,D,31,4,12,16,1,28,51,0,2,3,0,0,38,41
Devon Toews,NYI,D,31,3,10,13,8,8,56,1,1,2,0,0,22,32
Dante Fabbro,NSH,D,32,3,5,8,2,24,40,0,0,0,0,0,24,43
Jesper Boqvist,NJ,C,19,3,0,3,-3,6,28,0,0,0,0,0,28,10
Justin Dowling,DAL,C,22,3,2,5,1,8,23,1,0,0,0,0,23,9
Frederik Gauthier,TOR,C,30,3,3,6,-1,10,24,0,0,0,0,0,41,13
Sonny Milano,CLS,LW,30,3,8,11,-3,16,40,1,0,1,0,0,18,7
Melker Karlsson,SJ,C,32,3,3,6,-8,12,20,0,0,0,0,0,26,24
Austin Wagner,LA,LW,31,3,3,6,-2,22,68,0,0,0,0,0,77,8
Kyle Okposo,BUF,RW,24,3,4,7,1,20,32,1,0,0,0,0,25,6
Corey Perry,DAL,RW,28,3,8,11,1,11,37,0,0,3,0,0,25,16
Victor Rask,MIN,C,24,3,5,8,7,2,21,1,0,0,0,0,14,5
Travis Dermott,TOR,D,21,3,2,5,7,9,29,1,0,0,0,0,27,21
Josh Morrissey,WPG,D,31,3,16,19,2,8,64,0,1,7,0,0,18,27
Damon Severson,NJ,D,32,3,4,7,-11,15,40,1,0,0,0,0,34,42
Mattias Janmark,DAL,C,29,3,8,11,1,4,32,0,0,2,1,1,9,18
Chris Wagner,BOS,RW,33,3,4,7,-4,15,35,0,0,0,1,0,89,13
Morgan Rielly,TOR,D,34,3,19,22,0,20,88,2,0,6,0,0,26,46
Mikael Backlund,CGY,C,35,3,11,14,1,22,71,2,1,2,0,0,22,7
Ilya Kovalchuk,FA,RW,17,3,6,9,-10,12,35,0,1,2,0,0,12,9
Milan Lucic,CGY,LW,33,3,5,8,-6,34,45,1,2,1,0,0,88,10
Joel Farabee,PHI,LW,27,3,8,11,-1,35,44,0,0,0,0,0,17,8
Neal Pionk,WPG,D,33,3,16,19,9,10,73,1,1,9,0,0,61,36
Matt Roy,LA,D,35,3,8,11,2,4,57,0,0,0,0,0,53,53
Emil Bemstrom,CLS,C,28,3,6,9,-2,2,39,1,2,1,0,0,26,8
Zach Sanford,STL,LW,27,3,7,10,3,14,33,1,0,0,0,0,44,11
Brett Pesce,CAR,D,33,3,7,10,4,14,61,0,0,0,0,1,14,56
Joakim Nordstrom,BOS,C,23,3,1,4,-1,4,29,0,0,0,0,0,45,12
Antoine Roussel,VAN,LW,6,3,1,4,2,8,12,0,0,0,0,0,8,3
Oscar Klefbom,EDM,D,36,3,19,22,-18,8,94,0,1,12,0,0,29,113
Marcus Foligno,MIN,LW,24,3,6,9,5,9,28,0,0,0,0,0,84,11
Erik Karlsson,SJ,D,34,3,22,25,-4,12,69,0,1,6,0,0,18,48
Michael Raffl,PHI,LW,28,3,6,9,-4,2,28,1,0,0,0,0,32,14
MacKenzie Weegar,FLA,D,25,3,9,12,0,22,45,0,0,0,0,0,41,31
Denis Malgin,FLA,C,28,3,6,9,-7,6,41,0,1,0,0,1,19,11
Erik Gustafsson,CHI,D,33,3,10,13,-4,19,56,0,0,5,0,0,45,27
Trevor Moore,TOR,LW,21,3,2,5,-1,4,36,0,0,0,0,1,46,12
Philippe Myers,PHI,D,18,3,6,9,14,12,23,0,0,0,0,0,30,14
Will Butcher,NJ,D,30,3,6,9,-9,4,36,1,0,0,0,0,17,41
Jaccob Slavin,CAR,D,33,3,14,17,14,6,72,2,0,0,0,1,22,58
Nick Paul,OTT,LW,29,3,6,9,0,15,47,1,0,1,0,0,67,20
Shea Theodore,VGK,D,36,3,14,17,4,14,95,0,0,7,0,0,12,38
Brendan Leipsic,WAS,LW,35,3,6,9,2,4,32,1,0,1,0,0,29,10
Jordan Weal,MON,C,25,3,1,4,-6,10,37,1,1,0,0,0,15,12
Nick Holden,VGK,D,27,3,3,6,-4,4,41,0,1,0,0,1,57,37
Cal Clutterbuck,NYI,RW,31,3,4,7,9,20,34,0,0,0,1,1,105,34
Alex Goligoski,ARI,D,35,3,15,18,10,16,57,0,2,4,0,0,54,68
Jordan Staal,CAR,C,33,3,7,10,0,18,58,0,1,1,0,0,73,18
Troy Terry,ANH,C,32,3,5,8,-6,6,42,0,0,0,0,0,2,5
Jesperi Kotkaniemi,MON,C,22,3,2,5,-6,2,29,0,0,1,0,0,42,10
Gaetan Haas,EDM,C,28,3,4,7,-1,2,25,0,0,1,0,0,29,16
Cody Eakin,VGK,C,24,3,4,7,-6,12,38,0,0,1,0,0,19,9
Brendan Smith,NYR,D,33,3,3,6,-5,29,27,0,0,0,1,1,56,15
Jordan Eberle,NYI,RW,21,3,9,12,-1,4,44,0,1,4,0,0,8,13
Cedric Paquette,TB,C,23,3,6,9,-4,20,31,0,0,0,1,0,76,22
J.T. Compher,COL,C,30,3,14,17,14,8,45,0,0,2,0,2,19,23
Joel Edmundson,CAR,D,33,3,6,9,10,41,49,0,0,0,0,0,54,46
Andrew Shaw,CHI,C,26,3,7,10,-4,33,46,0,1,1,0,0,74,9
Jared Spurgeon,MIN,D,28,3,13,16,-6,8,51,0,0,4,0,0,24,56
Drake Caggiula,CHI,LW,15,3,1,4,-2,4,15,0,0,0,0,0,37,7
Michal Kempny,WAS,D,27,3,9,12,10,16,27,0,0,0,0,0,15,42
Sean Kuraly,BOS,C,34,3,8,11,1,18,50,0,0,1,0,1,75,15
Miles Wood,NJ,LW,32,3,6,9,-11,22,60,1,0,0,0,0,39,9
Henri Jokiharju,BUF,D,34,3,7,10,4,22,42,0,1,0,0,0,29,30
Brett Howden,NYR,C,33,3,5,8,-6,4,32,1,0,0,0,2,32,34
Blake Lizotte,LA,LW,35,3,9,12,0,8,49,0,0,1,1,0,21,10
Max Jones,ANH,LW,23,3,2,5,0,10,41,0,0,0,0,0,24,4
Victor Mete,MON,D,26,3,5,8,6,10,34,1,0,0,0,0,9,34
John Marino,PIT,D,31,3,10,13,9,8,45,0,1,1,0,0,46,40
Sam Bennett,CGY,LW,20,3,2,5,3,20,37,0,0,1,0,0,41,6
Thomas Chabot,OTT,D,34,3,18,21,-7,20,87,0,0,6,0,0,41,38
Markus Granlund,EDM,C,29,3,1,4,-2,14,22,1,0,0,0,0,13,18
Ryan Reaves,VGK,RW,36,3,3,6,-1,26,31,0,0,0,0,0,157,14
Tyson Barrie,TOR,D,34,3,10,13,-11,6,85,0,1,2,0,0,27,34
Vladimir Tarasenko,STL,RW,10,3,7,10,-2,0,26,0,1,2,0,0,17,7
Brent Seabrook,CHI,D,32,3,1,4,1,8,40,1,1,0,0,0,52,61
Valtteri Filppula,DET,C,35,3,10,13,-25,12,30,0,0,2,1,0,15,11
Jeff Petry,MON,D,33,3,13,16,-5,20,69,1,2,3,0,0,93,35
Jake Muzzin,TOR,D,33,3,10,13,6,24,63,0,0,0,0,1,74,54
Ryan Suter,MIN,D,34,3,19,22,-7,8,44,1,1,8,0,0,31,42
Ondrej Kase,ANH,RW,27,3,9,12,-1,4,64,0,0,1,0,0,7,4
Nick Ritchie,ANH,LW,27,3,7,10,-3,54,49,1,1,1,0,0,46,9
Noah Hanifin,CGY,D,35,3,5,8,-14,6,69,0,1,2,0,0,54,51
Brock McGinn,CAR,LW,33,3,4,7,0,13,49,1,0,0,1,0,35,10
Mathew Dumba,MIN,D,34,3,6,9,-11,31,75,0,0,3,0,1,56,43
Dominic Toninato,FLA,LW,15,3,0,3,-1,7,13,0,0,0,0,0,22,5
Dillon Dube,CGY,C,13,3,4,7,3,2,14,1,0,0,0,0,16,2
Dmytro Timashov,TOR,LW,22,2,5,7,2,8,18,0,0,0,0,0,58,7
Dominik Simon,PIT,C,33,2,11,13,-4,6,62,0,0,1,0,0,24,11
Connor Clifton,BOS,D,25,2,0,2,4,6,19,0,0,0,0,0,70,28
Quinn Hughes,VAN,D,33,2,24,26,-6,8,55,0,1,13,0,0,4,21
Maxime Comtois,ANH,LW,17,2,4,6,0,10,20,0,1,1,0,0,38,4
Tobias Rieder,CGY,RW,26,2,3,5,-7,2,36,0,0,0,1,0,12,9
Darnell Nurse,EDM,D,36,2,15,17,-3,29,87,0,0,2,0,0,75,55
Rasmus Ristolainen,BUF,D,34,2,14,16,9,28,68,0,1,2,0,0,103,40
Tyler Graovac,VAN,C,8,2,0,2,-2,2,5,0,2,0,0,0,6,3
Bryan Little,WPG,C,7,2,3,5,4,2,13,1,0,0,0,0,3,3
Colton Sceviour,FLA,RW,33,2,6,8,-3,2,53,0,0,0,0,0,33,25
Dmitry Orlov,WAS,D,35,2,12,14,-1,14,52,1,1,2,0,0,55,42
Jack Johnson,PIT,D,31,2,3,5,9,10,27,0,0,0,0,0,90,37
Andrew Cogliano,DAL,LW,34,2,5,7,0,18,31,0,0,0,0,0,39,15
Anton Stralman,FLA,D,33,2,8,10,-8,6,41,1,0,0,0,1,35,48
Madison Bowey,DET,D,24,2,8,10,-11,18,30,0,0,0,0,0,22,23
Kurtis MacDermid,LA,D,20,2,1,3,-1,27,27,0,0,0,0,0,43,23
Michael Dal Colle,NYI,LW,26,2,2,4,0,10,17,0,0,0,0,0,34,10
Erik Cernak,TB,D,28,2,2,4,-1,23,58,0,0,0,0,0,68,34
Alexander Wennberg,CLS,C,32,2,8,10,-3,10,42,0,1,3,0,0,10,15
Jacob De La Rose,STL,C,32,2,5,7,7,4,32,0,0,0,0,0,76,12
Craig Smith,NSH,RW,32,2,7,9,8,12,73,0,0,1,0,0,30,8
Markus Nutivaara,CLS,D,10,2,0,2,-1,2,14,0,0,0,0,0,12,11
Rasmus Andersson,CGY,D,35,2,8,10,-4,15,69,0,0,2,0,0,27,38
Taylor Fedun,DAL,D,22,2,7,9,3,8,32,0,0,0,0,0,13,16
Nick Shore,WPG,C,25,2,2,4,3,12,10,0,0,0,0,0,21,7
Haydn Fleury,CAR,D,19,2,2,4,-3,4,26,0,0,0,0,0,13,17
Marco Scandella,BUF,D,26,2,5,7,11,8,33,0,0,0,0,0,26,28
Riley Nash,CLS,C,28,2,5,7,1,4,27,1,0,0,1,0,26,18
Mike Green,DET,D,27,2,5,7,-18,18,50,1,1,2,0,0,25,42
Richard Panik,WAS,RW,25,2,1,3,5,10,32,0,0,0,0,0,26,9
Mark Pysyk,FLA,D,24,2,2,4,-3,8,19,0,0,0,0,0,18,19
Justin Faulk,STL,D,35,2,8,10,-6,16,71,1,0,2,0,0,36,32
Nate Schmidt,VGK,D,24,2,11,13,-6,2,46,0,0,3,0,0,14,49
Taro Hirose,DET,LW,23,2,5,7,-11,6,16,0,0,5,0,0,11,12
Dennis Cholowski,DET,D,29,2,6,8,-22,4,43,1,1,4,0,0,14,27
Colin White,OTT,C,27,2,5,7,-7,22,38,0,0,1,0,0,16,12
Erik Gudbranson,ANH,D,29,2,3,5,8,70,40,0,0,0,0,0,48,31
Jordan Martinook,CAR,LW,18,2,4,6,-1,8,15,1,0,0,0,1,27,12
Alex Galchenyuk,PIT,RW,24,2,8,10,-2,6,47,0,1,3,0,0,21,5
Ross Johnston,NYI,LW,17,2,0,2,2,35,9,0,0,0,0,0,52,6
Pavel Zacha,NJ,C,29,2,11,13,-15,6,36,0,0,0,0,1,19,10
Filip Zadina,DET,LW,10,2,5,7,0,0,17,0,1,3,0,0,3,4
Joel Eriksson Ek,MIN,C,30,2,10,12,0,10,51,0,0,0,0,0,56,26
Travis Sanheim,PHI,D,33,2,6,8,0,14,53,0,0,0,0,0,14,31
Brandon Carlo,BOS,D,34,2,8,10,7,6,53,0,0,0,0,0,61,39
Filip Chlapik,OTT,C,18,2,3,5,-1,10,17,1,0,0,0,0,30,3
Matt Grzelcyk,BOS,D,34,2,7,9,1,16,62,0,0,3,0,1,28,35
John Klingberg,DAL,D,28,2,8,10,-8,14,59,0,1,5,0,0,18,37
Brett Ritchie,BOS,RW,19,2,2,4,-4,19,26,1,0,1,0,0,56,1
Mikko Koivu,MIN,C,28,2,10,12,2,10,46,0,1,5,0,1,9,18
P.K. Subban,NJ,D,32,2,3,5,-13,40,73,1,0,0,0,0,39,38
Brayden McNabb,VGK,D,36,2,4,6,-4,32,35,0,0,0,1,0,106,61
Connor Murphy,CHI,D,22,2,5,7,1,2,38,0,0,0,0,1,47,47
Mark Borowiecki,OTT,D,34,2,8,10,1,38,40,0,0,0,0,0,136,71
Justin Schultz,PIT,D,26,2,6,8,-5,0,62,0,0,3,0,0,26,22
Travis Hamonic,CGY,D,29,2,5,7,-5,19,40,0,0,0,0,0,20,63
Nick Leddy,NYI,D,23,2,9,11,5,6,27,0,1,1,0,0,22,29
Colton Parayko,STL,D,35,2,11,13,4,8,75,0,0,2,0,1,44,63
Sam Steel,ANH,C,28,2,8,10,-7,8,36,0,1,3,0,0,12,10
Vladislav Gavrikov,CLS,D,32,2,2,4,2,12,38,0,0,0,0,0,32,33
Travis Boyd,WAS,C,17,2,6,8,7,0,18,0,0,1,0,0,7,5
Gerald Mayhew,MIN,C,7,2,0,2,2,2,9,0,0,0,0,0,5,2
Joakim Nygard,EDM,LW,19,2,3,5,-2,6,26,0,1,0,0,0,16,5
Morgan Frost,PHI,C,13,2,3,5,-4,2,27,0,0,0,1,0,4,3
Troy Stecher,VAN,D,34,2,5,7,1,22,42,0,0,0,0,0,38,30
Nate Thompson,MON,C,33,2,7,9,0,9,33,1,0,0,0,1,53,29
Luca Sbisa,WPG,D,21,2,4,6,4,10,29,0,0,0,0,0,43,31
Jake McCabe,BUF,D,32,2,5,7,-1,16,40,1,0,0,0,0,51,54
Tyler Pitlick,PHI,C,28,2,4,6,-3,6,23,0,0,0,0,0,54,14
Esa Lindell,DAL,D,35,2,8,10,8,4,47,1,1,2,0,1,36,64
Austin Czarnik,CGY,C,8,2,1,3,1,0,9,0,1,0,0,0,1,2
Nic Dowd,WAS,C,23,2,4,6,5,8,13,1,0,0,1,0,31,7
Brandon Montour,BUF,D,20,2,8,10,5,12,43,0,0,1,0,0,17,18
Zac Rinaldo,CGY,C,5,2,1,3,1,19,6,1,0,0,0,0,16,0
Oliver Ekman-Larsson,ARI,D,35,2,9,11,-2,12,72,0,0,3,0,0,63,39
Matt Martin,NYI,LW,19,2,1,3,2,0,13,1,0,0,0,0,89,5
Jake Gardiner,CAR,D,33,2,6,8,-17,18,42,1,0,3,0,0,26,25
Josh Brown,FLA,D,28,2,2,4,-6,16,19,1,0,0,0,0,38,26
Ryan Murray,CLS,D,24,2,5,7,-7,4,29,0,0,1,0,0,12,43
Mike Matheson,FLA,D,27,2,2,4,-7,2,57,0,0,1,0,0,20,26
Dylan Gambrell,SJ,C,29,2,4,6,-10,13,19,0,0,1,0,0,18,20
Tucker Poolman,WPG,D,31,1,10,11,2,4,33,0,0,0,0,0,26,30
Joel L'Esperance,DAL,C,3,1,0,1,0,2,2,0,0,0,0,0,1,1
Logan O'Connor,COL,C,7,1,0,1,3,2,8,0,0,0,0,0,3,4
Chad Ruhwedel,PIT,D,10,1,2,3,0,10,16,0,0,0,0,0,37,3
Ryan Carpenter,CHI,C,33,1,7,8,0,12,30,0,0,0,1,1,62,22
Cole Bardreau,NYI,LW,9,1,1,2,-1,6,9,1,0,0,0,0,19,1
Colby Cave,EDM,C,5,1,0,1,-1,2,2,0,0,0,0,0,12,0
Vladislav Kamenev,COL,C,17,1,3,4,1,4,17,1,0,1,0,0,9,9
Luke Schenn,TB,D,13,1,0,1,-7,13,13,0,0,0,0,0,38,11
Tyler Myers,VAN,D,34,1,6,7,-3,24,65,0,0,1,1,0,43,46
Michael Del Zotto,ANH,D,22,1,4,5,8,4,21,0,0,1,0,0,44,25
David Backes,BOS,RW,12,1,2,3,-2,16,22,1,1,0,0,0,19,2
Bobby Ryan,OTT,RW,16,1,3,4,0,11,21,0,0,0,0,0,24,3
Marc Staal,NYR,D,17,1,2,3,3,12,17,0,0,0,0,0,21,32
Brad Richardson,ARI,C,28,1,3,4,5,8,32,1,0,0,0,0,33,24
Calvin de Haan,CHI,D,29,1,5,6,10,10,42,0,0,0,0,0,93,73
Jonas Brodin,MIN,D,34,1,13,14,9,6,42,0,0,0,0,1,27,45
Daniel Carr,NSH,LW,11,1,0,1,-5,4,14,0,0,0,0,0,10,2
Luke Witkowski,TB,RW,12,1,2,3,-4,13,10,0,0,0,0,0,38,3
Dmitry Kulikov,WPG,D,25,1,3,4,2,18,28,0,0,0,0,0,40,38
Michael Stone,CGY,D,18,1,2,3,0,10,26,0,0,0,0,0,26,26
Erik Johnson,COL,D,23,1,5,6,-4,6,39,0,0,0,0,0,37,48
Jay Bouwmeester,STL,D,35,1,5,6,4,12,34,0,0,0,0,1,28,41
Dean Kukan,CLS,D,25,1,3,4,-7,6,36,0,1,0,0,0,19,23
Klim Kostin,STL,RW,4,1,0,1,1,0,5,0,0,0,0,0,6,0
Noah Gregor,SJ,C,18,1,0,1,-5,2,17,0,0,0,0,0,24,3
Jan Rutta,TB,D,14,1,3,4,-2,8,17,0,0,0,0,0,10,12
Adam Boqvist,CHI,D,10,1,1,2,-4,4,13,0,0,1,0,0,6,7
Barrett Hayton,ARI,C,14,1,3,4,1,12,20,1,0,0,0,0,10,2
Par Lindholm,BOS,C,20,1,0,1,2,4,16,0,0,0,0,0,12,8
Ryan Lindgren,NYR,D,23,1,6,7,6,14,20,0,0,0,0,0,38,26
Jacob Larsson,ANH,D,25,1,2,3,-3,8,27,0,0,0,0,0,14,24
Matt Luff,LA,RW,10,1,3,4,3,2,13,0,0,0,0,0,9,3
Marcus Pettersson,PIT,D,33,1,9,10,1,10,35,0,0,1,0,0,55,31
Josh Anderson,CLS,RW,26,1,3,4,-8,17,63,0,0,0,0,0,68,13
Valentin Zykov,VGK,RW,11,1,2,3,0,4,17,0,1,0,0,0,17,3
Brian Dumoulin,PIT,D,23,1,6,7,17,8,33,0,0,1,1,0,39,27
Deryk Engelland,VGK,D,31,1,4,5,5,20,40,1,0,0,0,1,80,55
Riley Sheahan,EDM,C,31,1,1,2,-11,0,30,0,0,0,0,0,14,10
Johnny Boychuk,NYI,D,30,1,6,7,4,10,46,0,1,0,0,0,68,58
Ian Cole,COL,D,28,1,11,12,17,24,30,1,0,0,0,0,38,64
Cody Ceci,TOR,D,34,1,6,7,7,12,33,1,0,0,0,0,54,59
Gemel Smith,TB,C,3,1,0,1,0,4,1,0,0,0,0,0,1,2
Micheal Ferland,VAN,LW,14,1,4,5,-3,7,15,0,0,0,0,0,40,2
John Moore,BOS,D,5,1,1,2,1,9,9,0,0,0,0,0,8,6
Micheal Haley,NYR,LW,15,1,0,1,-4,40,9,0,0,0,0,0,24,5
Chris Tanev,VAN,D,34,1,8,9,3,12,20,0,0,0,0,1,19,78
Vladimir Sobotka,BUF,C,16,1,2,3,2,4,23,0,0,0,0,0,26,7
Niklas Hjalmarsson,ARI,D,4,1,0,1,1,0,4,0,0,0,0,0,2,4
Braydon Coburn,TB,D,17,1,0,1,2,4,21,0,0,0,0,0,24,10
Brandon Manning,EDM,D,9,1,0,1,-1,17,8,0,0,0,0,0,10,6
Curtis Lazar,BUF,C,6,1,0,1,-2,7,2,0,0,0,0,0,13,5
Jayce Hawryluk,FLA,C,8,1,2,3,-1,4,5,0,0,0,0,0,16,5
Logan Brown,OTT,C,19,1,7,8,-1,4,20,1,1,2,0,0,9,10
Vitali Abramov,OTT,RW,2,1,0,1,0,2,3,0,0,0,0,0,0,0
Rasmus Dahlin,BUF,D,26,1,17,18,2,20,39,0,0,8,0,0,33,15
Nick Caamano,DAL,RW,12,1,1,2,2,4,13,0,0,0,0,0,17,3
Cale Fleury,MON,D,27,1,0,1,-6,2,26,0,0,0,0,0,71,33
Nicolas Roy,VGK,C,7,1,2,3,1,6,6,1,0,0,0,0,11,2
Nathan Walker,STL,C,5,1,1,2,-2,4,6,0,0,0,0,0,10,1
Logan Shaw,WPG,RW,19,1,0,1,-3,0,9,0,0,0,0,0,12,9
Adam Pelech,NYI,D,31,1,6,7,5,18,40,0,0,0,0,1,60,71
Mirco Mueller,NJ,D,19,1,0,1,-9,11,9,0,0,0,0,0,16,25
Scott Sabourin,OTT,RW,11,1,1,2,-3,13,9,0,0,0,0,0,26,5
Jamie Oleksiak,DAL,D,35,1,5,6,0,23,37,0,0,0,0,0,58,31
Miikka Salomaki,NSH,RW,5,1,0,1,2,4,2,1,0,0,0,0,9,3
Brenden Dillon,SJ,D,35,1,7,8,-8,50,36,0,0,0,0,1,110,34
T.J. Brodie,CGY,D,30,1,9,10,5,16,30,0,0,1,0,0,10,42
Yakov Trenin,NSH,C,4,1,0,1,1,2,7,0,0,0,0,0,6,2
Jonas Siegenthaler,WAS,D,35,1,4,5,6,20,24,1,0,0,0,0,31,55
Carsen Twarynski,PHI,LW,15,1,0,1,-2,4,14,0,0,0,0,0,40,8
Patrik Nemeth,DET,D,29,1,4,5,-6,12,46,1,0,0,0,0,28,36
Nick Bjugstad,PIT,C,10,1,0,1,2,8,16,0,0,0,0,0,19,6
Loui Eriksson,VAN,RW,17,1,0,1,-3,8,15,0,0,0,0,0,1,7
Ron Hainsey,OTT,D,34,1,6,7,2,6,26,1,0,0,0,2,29,49
Sam Gagner,EDM,C,18,1,7,8,-2,2,32,0,0,1,0,0,11,5
Paul Byron,MON,C,19,1,3,4,3,4,11,0,0,0,0,0,28,11
Josh Archibald,EDM,RW,27,1,0,1,-12,6,29,0,0,0,0,0,64,15
Colin Miller,BUF,D,26,1,5,6,-6,8,40,1,0,3,0,0,41,22
Gabriel Bourque,WPG,LW,19,1,3,4,1,0,18,0,0,0,0,0,53,16
Devin Shore,ANH,C,18,1,3,4,-2,4,24,0,0,1,0,0,19,7
Nikita Zadorov,COL,D,29,1,3,4,3,43,32,0,0,0,0,0,92,38
Olli Maatta,CHI,D,30,1,7,8,-3,4,39,0,0,0,0,1,62,54
Joseph Blandisi,PIT,C,13,1,2,3,-1,4,7,1,0,0,0,0,19,7
Samuel Girard,COL,D,33,1,11,12,2,9,41,0,1,4,0,0,27,47
Jordan Kyrou,STL,RW,4,1,0,1,-1,0,7,0,0,0,0,0,4,2
Josh Mahura,ANH,D,11,1,3,4,-3,2,11,0,0,0,0,0,2,11
Radim Simek,SJ,D,16,1,3,4,-12,8,15,0,0,0,0,0,36,22
Ville Heinola,WPG,D,8,1,4,5,3,4,10,0,0,1,0,0,3,5
Hampus Lindholm,ANH,D,25,1,13,14,-3,22,44,0,1,3,0,2,10,32
Kyle Capobianco,ARI,D,7,1,0,1,-1,2,6,0,0,0,0,0,8,9
Joakim Ryan,LA,D,22,1,2,3,1,6,25,0,0,0,0,0,12,31
Ryan McDonagh,TB,D,31,1,8,9,2,11,32,0,0,0,0,1,22,66
Troy Brouwer,STL,RW,9,1,0,1,1,5,8,0,0,0,0,0,18,5
Zack Smith,CHI,C,27,1,4,5,-2,15,25,0,0,0,0,1,57,10
Duncan Keith,CHI,D,25,1,5,6,1,12,37,0,0,2,0,0,11,50
Justin Holl,TOR,D,32,1,9,10,9,18,37,0,0,0,0,0,45,27
Carl Gunnarsson,STL,D,17,1,3,4,1,10,9,0,0,0,0,1,12,21
Zach MacEwen,VAN,C,8,1,1,2,3,2,3,0,0,0,0,0,21,2
Christoffer Ehn,DET,C,24,1,0,1,-10,2,13,0,0,0,0,0,28,10
Adam Johnson,PIT,C,7,1,1,2,-1,2,5,0,0,0,0,0,4,3
David Gustafsson,WPG,C,22,1,0,1,-2,0,4,1,0,0,0,0,5,6
Nicolas Deslauriers,ANH,LW,21,1,3,4,-2,46,18,0,0,0,0,0,53,8
Greg McKegg,NYR,C,20,1,2,3,0,7,16,0,0,0,1,0,30,5
Jay Beagle,VAN,C,25,1,2,3,-5,18,27,1,0,0,1,1,29,14
Trevor Lewis,LA,C,27,1,4,5,-1,10,47,0,0,0,0,0,40,13
Ben Hutton,LA,D,35,1,4,5,-3,6,59,0,0,0,0,0,25,47
Carter Verhaeghe,TB,C,21,1,3,4,-4,4,25,0,0,0,0,0,7,0
Alan Quine,CGY,C,9,1,0,1,-1,4,12,0,0,0,0,0,6,2
Stefan Noesen,PIT,C,6,1,0,1,0,0,8,0,0,0,0,0,10,1
Pierre Engvall,TOR,LW,12,1,4,5,3,0,13,1,0,0,1,1,7,3
Oscar Fantenberg,VAN,D,7,1,0,1,4,0,10,0,0,0,0,0,12,10
Brendan Guhle,ANH,D,18,1,3,4,-3,8,22,0,0,0,0,0,8,20
Rasmus Asplund,BUF,C,16,1,2,3,2,4,25,0,0,0,0,1,12,3
Matthew Highmore,CHI,C,5,0,0,0,0,0,2,0,0,0,0,0,6,0
Mikhail Vorobyov,PHI,C,10,0,1,1,-1,0,7,0,0,0,0,0,3,2
Tyler Motte,VAN,C,7,0,1,1,-1,2,4,0,0,0,0,0,28,10
Nikita Zaitsev,OTT,D,32,0,8,8,-1,8,35,0,0,0,0,0,55,74
German Rubtsov,PHI,C,3,0,0,0,-1,0,1,0,0,0,0,0,2,4
Max Veronneau,OTT,RW,4,0,0,0,-2,0,3,0,0,0,0,0,2,2
Nicolas Hague,VGK,D,25,0,6,6,-1,20,27,0,0,3,0,0,42,17
Mario Ferraro,SJ,D,32,0,5,5,-10,18,28,0,0,0,0,1,64,23
Mason Appleton,WPG,C,9,0,0,0,-1,2,9,0,0,0,0,0,6,4
Andy Andreoff,PHI,C,6,0,1,1,0,0,8,0,0,0,0,0,9,3
Mark Jankowski,CGY,C,31,0,1,1,-10,10,15,0,0,0,0,0,10,16
Boo Nieves,NYR,C,4,0,0,0,2,4,2,0,0,0,0,0,3,2
Evan Rodrigues,BUF,C,18,0,2,2,-5,2,30,0,0,0,0,0,9,2
Alexander Volkov,TB,LW,4,0,0,0,-5,0,3,0,0,0,0,0,5,1
Mitchell Stephens,TB,C,4,0,0,0,-4,0,5,0,0,0,0,0,3,2
Joe Hicketts,DET,D,6,0,2,2,-5,2,6,0,0,0,0,0,14,13
Clark Bishop,CAR,C,5,0,1,1,-2,4,4,0,0,0,0,0,5,0
Nikolay Goldobin,VAN,RW,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Tomas Jurco,EDM,RW,12,0,2,2,1,4,7,0,0,0,0,0,4,3
Carl Hagelin,WAS,LW,24,0,6,6,3,4,34,0,0,0,0,1,10,8
Adam Larsson,EDM,D,14,0,1,1,-7,17,17,0,0,0,0,0,24,27
Brandon Pirri,VGK,C,11,0,1,1,-3,6,19,0,0,0,0,0,9,2
Martin Fehervary,WAS,D,3,0,0,0,0,2,4,0,0,0,0,0,6,0
Colin Blackwell,NSH,C,2,0,0,0,1,0,3,0,0,0,0,0,4,0
Anton Wedin,CHI,LW,4,0,0,0,1,4,2,0,0,0,0,0,5,1
Dylan Sikura,CHI,LW,2,0,0,0,-1,0,2,0,0,0,0,0,0,0
Brett Seney,NJ,LW,2,0,0,0,-1,0,1,0,0,0,0,0,2,0
Henrik Borgstrom,FLA,C,4,0,0,0,-2,2,3,0,0,0,0,0,1,0
Max Lajoie,OTT,D,4,0,0,0,0,0,2,0,0,0,0,0,1,2
Beck Malenstyn,WAS,C,3,0,0,0,-1,0,4,0,0,0,0,0,5,1
