Player,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Mika Zibanejad,NYR,C,20,11,12,23,4,4,64,2,4,3,2,2,24,16
Joel Armia,MON,RW,31,11,7,18,5,10,104,2,3,0,1,0,87,16
Nazem Kadri,COL,C,30,11,11,22,3,44,77,1,3,4,0,0,42,5
Logan Couture,SJ,C,35,11,21,32,5,18,87,2,0,8,0,2,37,27
Calle Jarnkrok,NSH,C,32,11,11,22,2,6,73,1,2,2,2,0,14,6
Brandon Saad,CHI,LW,34,11,8,19,-1,10,82,3,0,0,2,0,24,12
Oskar Lindblom,PHI,LW,30,11,7,18,4,4,72,0,3,1,0,0,31,16
Ryan Getzlaf,ANH,C,33,10,15,25,2,29,77,5,2,2,0,0,59,39
Patrice Bergeron,BOS,C,25,10,17,27,10,12,92,0,3,7,0,0,24,16
Jonathan Marchessault,VGK,LW,36,10,14,24,-7,12,126,2,3,5,0,0,66,7
Jeff Carter,LA,C,35,10,5,15,-9,26,116,5,2,1,0,0,35,14
Shea Weber,MON,D,33,10,17,27,11,16,101,2,2,4,0,0,55,63
Pierre-Luc Dubois,CLS,C,33,10,10,20,-8,29,82,1,1,5,0,0,41,28
Claude Giroux,PHI,C,33,10,12,22,5,18,102,4,3,5,0,1,30,11
Nikita Kucherov,TB,RW,30,10,24,34,4,16,85,1,2,13,0,0,17,12
William Karlsson,VGK,C,36,10,18,28,4,14,76,1,2,3,2,3,28,26
Anthony Beauvillier,NYI,LW,31,10,11,21,9,6,63,2,2,2,1,0,34,18
Patrik Laine,WPG,RW,31,10,21,31,8,10,94,0,2,5,0,0,49,15
Sean Monahan,CGY,C,35,10,18,28,-11,10,87,2,3,6,0,0,37,10
Jared McCann,PIT,C,31,9,10,19,13,4,60,2,1,1,0,0,51,15
Blake Coleman,NJ,C,32,9,7,16,2,24,75,1,0,0,0,0,95,24
Alex Killorn,TB,C,29,9,17,26,6,10,63,2,4,5,0,0,19,8
Tyler Toffoli,LA,RW,34,9,11,20,-3,14,85,1,1,1,0,0,16,3
Alexander Radulov,DAL,RW,34,9,13,22,12,30,90,2,4,2,0,0,29,27
Oliver Bjorkstrand,CLS,RW,33,9,9,18,-2,10,112,2,2,3,0,0,29,15
Jake Virtanen,VAN,LW,34,9,8,17,0,16,63,3,1,0,0,0,54,13
Oskar Sundqvist,STL,C,29,9,7,16,4,16,47,1,0,0,1,0,28,14
Blake Wheeler,WPG,RW,33,9,17,26,-5,16,86,1,1,7,0,0,57,25
Jaden Schwartz,STL,LW,35,9,15,24,-9,6,80,2,4,6,0,0,26,18
Anders Lee,NYI,C,31,9,9,18,6,31,71,2,1,3,0,0,63,19
Adam Henrique,ANH,C,33,9,7,16,5,12,76,0,0,1,0,0,34,15
Derek Grant,ANH,C,33,9,3,12,-1,24,49,2,1,0,2,0,28,17
Ondrej Palat,TB,LW,31,9,7,16,7,14,70,2,2,2,1,0,72,28
Bo Horvat,VAN,C,34,9,17,26,-10,6,94,0,6,4,0,0,25,29
Mikko Rantanen,COL,RW,17,9,13,22,2,2,42,3,4,3,0,0,13,11
